"Id","SalePrice"
1461,130267.050085844
1462,153713.363128357
1463,175249.126710517
1464,181424.098587074
1465,215903.525822763
1466,178269.202299488
1467,176665.459138413
1468,166723.955546084
1469,186627.304939279
1470,111947.308480016
1471,200867.475306251
1472,108906.807100237
1473,106211.923609124
1474,149724.660249756
1475,137776.219408541
1476,392231.976233194
1477,285830.109696683
1478,322743.094330478
1479,281645.171601218
1480,446057.355753551
1481,306204.110937532
1482,231349.926267261
1483,180038.4670287
1484,186192.776066616
1485,157838.943641407
1486,203099.648805636
1487,349274.253178668
1488,270532.94228368
1489,220939.129954991
1490,193630.966920328
1491,192871.58262889
1492,101716.692978139
1493,169325.785379662
1494,290421.010269926
1495,288800.815348744
1496,210257.546215669
1497,201101.377276212
1498,166663.705298685
1499,169242.34368562
1500,155511.155195229
1501,169189.506354495
1502,156183.928250109
1503,284835.742710355
1504,243569.496837227
1505,206652.746628132
1506,209064.261553278
1507,257873.399644706
1508,196012.069791599
1509,151354.241433164
1510,141754.159469611
1511,140254.861459617
1512,164415.562058955
1513,153335.189035158
1514,174506.371949778
1515,231020.08592208
1516,146346.261732182
1517,173066.037517006
1518,166172.966397052
1519,228884.205864964
1520,130384.356065854
1521,134668.782662096
1522,162396.100935102
1523,124771.987049479
1524,119527.248868065
1525,117665.053041218
1526,120150.434210684
1527,105315.426145043
1528,151030.919610747
1529,136675.588932149
1530,166734.372771478
1531,101585.759287135
1532,83457.2234976007
1533,147323.808815159
1534,147318.754660654
1535,179821.179715045
1536,117502.876476804
1537,80202.4543712085
1538,168835.191862011
1539,191293.78722991
1540,128235.764610225
1541,146696.341370981
1542,160881.484520482
1543,200917.815505716
1544,82821.2417837296
1545,114967.140236296
1546,120240.799550676
1547,123608.064768524
1548,136167.144177065
1549,106825.719696383
1550,129349.807866596
1551,119361.228206536
1552,137169.152461804
1553,144700.646437085
1554,126896.673950597
1555,162521.569988239
1556,96199.4760287089
1557,99408.0093990156
1558,102584.293966132
1559,105671.451372631
1560,122748.313151322
1561,174995.807529084
1562,149427.236257459
1563,113534.850813173
1564,154057.779355897
1565,130576.472900633
1566,206014.453124957
1567,82972.6697322166
1568,200477.086615393
1569,131937.237832201
1570,130896.273001953
1571,120673.702946675
1572,149022.842427873
1573,240716.869125714
1574,145585.084155987
1575,193298.331014936
1576,225920.060682767
1577,217150.689571416
1578,116545.347843255
1579,145909.334284321
1580,199695.073381721
1581,141802.542031997
1582,116544.234556111
1583,311001.239180438
1584,226499.3855941
1585,144815.495546452
1586,95476.2287695336
1587,93673.906656357
1588,134767.059124173
1589,114122.401679459
1590,139854.09084298
1591,99015.049178683
1592,135833.439889485
1593,116040.117732525
1594,181045.94386236
1595,121630.333081248
1596,224368.896893444
1597,191770.076680129
1598,188403.091861133
1599,194080.346365185
1600,204250.267423661
1601,61872.2092927518
1602,110609.497904031
1603,62175.4173720243
1604,254127.837441176
1605,255277.528049828
1606,155697.680830717
1607,244953.51388092
1608,215515.289902046
1609,215664.861012277
1610,145530.449179429
1611,136141.396807492
1612,178366.466787808
1613,173959.611765691
1614,116693.784855245
1615,88196.3663951182
1616,88196.3663951182
1617,102015.000112377
1618,131592.263913806
1619,126485.169711374
1620,226803.55542629
1621,139563.504459776
1622,130235.242098501
1623,269026.399827179
1624,199704.223589894
1625,127129.782932972
1626,163955.635132438
1627,182591.112908677
1628,267976.9025024
1629,173616.391795581
1630,378333.942508349
1631,234088.383805137
1632,261199.644254009
1633,160066.160142147
1634,182602.041990738
1635,164884.603000696
1636,166396.220717261
1637,180793.515439002
1638,205076.452537594
1639,189396.153913376
1640,266351.698593328
1641,189448.358702156
1642,216471.777967048
1643,244129.340659231
1644,239020.420638414
1645,172880.199074175
1646,142348.959522984
1647,163746.84050551
1648,135157.420843522
1649,123458.271247755
1650,111342.448220981
1651,135353.967055996
1652,109009.983145636
1653,109182.334976339
1654,151762.037657873
1655,153835.826117878
1656,152883.286504868
1657,155225.720476857
1658,154653.476504942
1659,140249.24705691
1660,149847.697951001
1661,408595.906742346
1662,410961.201419378
1663,398039.33815244
1664,489727.462268782
1665,348645.335502473
1666,293178.497881037
1667,327713.446825249
1668,351671.069217926
1669,305760.143164198
1670,357412.237141639
1671,233550.293621776
1672,448650.80824917
1673,292389.484442793
1674,271093.697763769
1675,183879.226215294
1676,182053.845670844
1677,212912.846466258
1678,490566.345933557
1679,344642.142983438
1680,366545.797130891
1681,303527.5266674
1682,259856.281152153
1683,198521.608459817
1684,174484.971813652
1685,169791.103593192
1686,191057.032766309
1687,162675.820643229
1688,197061.421232563
1689,190723.821570026
1690,174983.442698366
1691,169734.390826028
1692,247548.895369341
1693,157838.943641407
1694,167027.157900441
1695,158958.262542078
1696,253291.320158109
1697,160531.865017966
1698,333311.815409146
1699,327732.410743407
1700,233269.013218827
1701,269289.342865113
1702,301067.836482015
1703,276645.807992898
1704,284638.364886048
1705,233882.029729336
1706,455213.442023171
1707,226631.046099401
1708,216408.62810955
1709,337423.402446803
1710,244690.155941768
1711,254667.390708911
1712,296160.979830006
1713,239321.437300423
1714,214238.560893526
1715,197939.795560157
1716,197373.328435168
1717,186875.916702323
1718,149142.661925998
1719,206300.806046655
1720,253650.79931061
1721,181453.184237736
1722,134758.027360415
1723,153175.152642095
1724,241466.985173602
1725,230337.596962363
1726,187455.59790313
1727,175273.991778664
1728,186867.281651364
1729,149923.686663513
1730,164649.553298711
1731,124672.520877549
1732,128746.803598164
1733,117957.617386488
1734,125495.006858277
1735,133681.694374862
1736,117077.420757518
1737,313313.782847344
1738,224302.539976108
1739,297634.321286679
1740,237432.726275933
1741,190026.824215113
1742,168706.939556289
1743,178991.578539344
1744,275183.617276766
1745,223275.02551604
1746,260573.43117
1747,213546.265053356
1748,259783.753733404
1749,144711.088826913
1750,146923.629093169
1751,239116.989470669
1752,115239.100801948
1753,166941.744933108
1754,203530.654950946
1755,151905.102324619
1756,112721.71350473
1757,113989.076916322
1758,144733.813169614
1759,157350.033281473
1760,163994.755275419
1761,146928.923295712
1762,182126.520240383
1763,158064.425073003
1764,117280.985255483
1765,196008.279507529
1766,169993.94328818
1767,212820.448852292
1768,128377.812479334
1769,173552.550248184
1770,147643.534613515
1771,131990.620133935
1772,145695.137549715
1773,126324.178941041
1774,202093.89911914
1775,132217.248282167
1776,113300.783914579
1777,100641.252311165
1778,136999.251581769
1779,106513.894919036
1780,171326.851458882
1781,127439.908513055
1782,94463.1037904236
1783,148229.550010739
1784,69055.1199624347
1785,108977.249118368
1786,186645.219316182
1787,172384.795462042
1788,46001.4339988701
1789,89683.2526790964
1790,50651.1122825308
1791,244448.038083777
1792,161673.020259453
1793,139194.932831172
1794,157211.823685178
1795,137944.208374155
1796,116590.769591058
1797,153560.451912773
1798,123021.540301138
1799,99370.8983502077
1800,111727.476842643
1801,145725.999826498
1802,164870.028236349
1803,169902.604484388
1804,127351.135724268
1805,136463.906514783
1806,150095.971340503
1807,133146.127542063
